date,temp,id
2013-03-13 14:00:00,19.5,51
2013-03-13 13:54:59,19.12,51
2013-03-13 13:49:58,19.19,51
2013-03-13 13:44:57,19.62,51
2013-03-13 13:39:56,19.69,51
2013-03-13 13:34:55,19.62,51
2013-03-13 13:29:54,19.31,51
2013-03-13 13:24:53,19.0,51
2013-03-13 13:19:53,19.37,51
2013-03-13 13:14:52,19.75,51
2013-03-13 13:09:51,19.69,51
2013-03-13 13:04:50,19.56,51
2013-03-13 12:59:49,19.31,51
2013-03-13 12:54:48,19.06,51
2013-03-13 12:49:47,19.56,51
2013-03-13 12:44:46,19.75,51
2013-03-13 12:39:46,19.69,51
2013-03-13 12:34:45,19.56,51
2013-03-13 12:29:44,19.37,51
2013-03-13 12:24:43,19.25,51
2013-03-13 12:19:42,19.12,51
2013-03-13 12:14:41,19.19,51
2013-03-13 12:09:40,19.44,51
2013-03-13 12:04:39,19.37,51
2013-03-13 11:59:39,19.25,51
2013-03-13 11:54:38,19.19,51
2013-03-13 11:49:37,19.06,51
2013-03-13 11:44:36,18.87,51
2013-03-13 11:39:35,18.69,51
2013-03-13 11:34:34,18.69,51
2013-03-13 11:29:33,18.87,51
2013-03-13 11:24:33,18.81,51
2013-03-13 11:19:32,18.75,51
2013-03-13 11:14:31,18.69,51
2013-03-13 11:09:30,18.62,51
2013-03-13 11:04:29,18.5,51
2013-03-13 10:59:28,18.31,51
2013-03-13 10:54:27,18.12,51
2013-03-13 10:49:26,17.69,51
2013-03-13 10:44:25,17.12,51
2013-03-13 10:39:25,16.87,51
2013-03-13 10:34:24,16.94,51
2013-03-13 10:29:23,17.0,51
2013-03-13 10:24:22,17.06,51
2013-03-13 10:19:21,17.19,51
2013-03-13 10:14:20,17.25,51
2013-03-13 10:09:19,17.25,51
2013-03-13 10:04:18,17.31,51
2013-03-13 09:59:18,17.37,51
2013-03-13 09:54:17,17.37,51
2013-03-13 09:49:16,17.5,51
2013-03-13 09:44:15,17.5,51
2013-03-13 09:39:14,17.56,51
2013-03-13 09:34:13,17.62,51
2013-03-13 09:29:12,17.62,51
2013-03-13 09:24:11,17.69,51
2013-03-13 09:19:11,17.69,51
2013-03-13 09:14:10,17.69,51
2013-03-13 09:09:09,17.75,51
2013-03-13 09:04:08,17.81,51
2013-03-13 08:59:07,17.87,51
2013-03-13 08:54:06,17.87,51
2013-03-13 08:49:05,17.94,51
2013-03-13 08:44:04,18.0,51
2013-03-13 08:39:04,18.06,51
2013-03-13 08:34:03,18.19,51
2013-03-13 08:29:02,18.19,51
2013-03-13 08:24:01,18.25,51
2013-03-13 08:19:00,18.31,51
2013-03-13 08:13:59,18.37,51
2013-03-13 08:08:58,18.56,51
2013-03-13 08:03:58,18.69,51
2013-03-13 07:58:57,19.06,51
2013-03-13 07:53:56,19.31,51
2013-03-13 07:48:55,19.31,51
2013-03-13 07:43:54,19.31,51
2013-03-13 07:38:53,19.31,51
2013-03-13 07:33:52,19.37,51
2013-03-13 07:28:51,19.37,51
2013-03-13 07:23:50,19.37,51
2013-03-13 07:18:50,19.37,51
2013-03-13 07:13:49,19.37,51
2013-03-13 07:08:48,19.44,51
2013-03-13 07:03:47,19.44,51
2013-03-13 06:58:46,19.44,51
2013-03-13 06:53:45,19.44,51
2013-03-13 06:48:44,19.44,51
2013-03-13 06:43:44,19.5,51
2013-03-13 06:38:43,19.44,51
2013-03-13 06:33:42,19.5,51
2013-03-13 06:28:41,19.5,51
2013-03-13 06:23:41,19.56,51
2013-03-13 06:18:39,19.56,51
2013-03-13 06:13:39,19.56,51
2013-03-13 06:08:38,19.56,51
2013-03-13 06:03:37,19.56,
2013-03-13 05:58:36,19.62,
2013-03-13 05:53:35,19.62,
2013-03-13 05:48:35,19.69,
2013-03-13 05:43:33,19.69,
2013-03-13 05:38:32,19.69,
2013-03-13 05:33:31,19.75,
2013-03-13 05:28:31,19.75,
2013-03-13 05:23:30,19.75,
2013-03-13 05:18:29,19.81,
2013-03-13 05:13:28,19.81,
2013-03-13 05:08:27,19.87,
2013-03-13 05:03:26,19.87,
2013-03-13 04:58:25,19.87,
2013-03-13 04:53:24,19.94,
2013-03-13 04:48:23,19.94,
2013-03-13 04:43:23,19.94,
2013-03-13 04:38:22,20.0,
